ID,title,image_link,platform1,platform2,platform3,platform4,platform5,platform6,score
103,Assassin's Creed Rogue Remastered,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Assassin%27s_Creed_Rogue.jpg/220px-Assassin%27s_Creed_Rogue.jpg,PS4\,XboxOne,na,na,na,na,0.003308913
104,Assassin's Creed Syndicate,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/ACSyndicate.jpg/220px-ACSyndicate.jpg,PS4\,XboxOne,na,na,na,na,0.013885789
105,Assassin's Creed Unity,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Acunity.jpg/220px-Acunity.jpg,PS4\,XboxOne,na,na,na,na,0.016204939
106,Assault Android Cactus,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Assault_Android_Cactus.jpg/220px-Assault_Android_Cactus.jpg,PS4,na,na,na,na,na,0.003687351
107,Assault Suit Leynos,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Target_Earth.jpg/220px-Target_Earth.jpg,PS4,na,na,na,na,na,0
108,The Assembly,unreleased,PS4\,XboxOne,na,na,na,na,0.011663675
109,Assetto Corsa,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Assetto_Corsa_cover.png/220px-Assetto_Corsa_cover.png,PS4\,XboxOne,na,na,na,na,0.018310611
110,Atari Flashback Classics: Volume 1,unreleased,PS4\,XboxOne,na,na,na,na,0
111,Atari Flashback Classics: Volume 2,unreleased,PS4\,XboxOne,na,na,na,na,0
112,Atari Flashback Classics: Volume 3,unreleased,PS4\,XboxOne,na,na,na,na,0
113,Atelier Firis: The Alchemist and the Mysterious Journey,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/AtelierFiris.jpg/220px-AtelierFiris.jpg,PS4,na,na,na,na,na,0.000106739
114,Atelier Lydie & Suelle: Alchemists of the Mysterious Painting,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/AtelierLydie%26SuelleMysteriousPaintingBoxArt.jpg/220px-AtelierLydie%26SuelleMysteriousPaintingBoxArt.jpg,PS4,na,na,na,na,na,5.82E-05
115,Atelier Sophie: The Alchemist of the Mysterious Book,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Atelier_Sophie_boxart.png/220px-Atelier_Sophie_boxart.png,PS4,na,na,na,na,na,0.000640435
116,Attack on Titan,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Attack_on_Titan_%28video_game%29_Japanese_PS4_cover_art.jpg/220px-Attack_on_Titan_%28video_game%29_Japanese_PS4_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.039474067
117,Attack on Titan 2,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Attack_on_Titan_2_cover_art.jpg/220px-Attack_on_Titan_2_cover_art.jpg,PS4\,Switch\,XboxOne,na,na,na,0.036805589
118,Attractio,https://upload.wikimedia.org/wikipedia/en/7/76/Attractio.jpg,PS4,na,na,na,na,na,0.001057688
119,ATV Drift & Tricks,unreleased,PS4,na,na,na,na,na,0
120,Aven Colony,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Aven_Colony_Promo.jpg/220px-Aven_Colony_Promo.jpg,PS4\,XboxOne,na,na,na,na,0.007297074
121,Away: Journey to the Unexpected,unreleased,PS4\,Switch\,XboxOne,na,na,na,0.029799622
122,A Way Out,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/A_Way_Out_Logo.jpg/220px-A_Way_Out_Logo.jpg,PS4\,XboxOne,na,na,na,na,0.00161079
123,Awesomenauts Assemble,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Awesomenauts_cover.jpg/220px-Awesomenauts_cover.jpg,PS4\,XboxOne,na,na,na,na,6.79E-05
124,Axiom Verge,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/Axiom_Verge_Title.png/220px-Axiom_Verge_Title.png,PS4\,Switch\,WiiU\,XboxOne,na,na,0.111183349
125,Aztez,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Aztez_Header.jpg/220px-Aztez_Header.jpg,PS4\,XboxOne,na,na,na,na,0
126,Backgammon Blitz,unreleased,PS4\,PS3,na,na,na,na,0
127,Back to Bed,unreleased,PS4\,PS3\,WiiU,na,na,na,0.002241522
128,Back to the Future: The Game – 30th Anniversary Edition,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Back_to_the_Future_The_Game.PNG/220px-Back_to_the_Future_The_Game.PNG,PS4\,XboxOne,na,na,na,na,0.000504585
129,Badass Hero,unreleased,PS4\,Switch,na,na,na,na,0.028402309
130,Badland: Game of the Year Edition,https://upload.wikimedia.org/wikipedia/en/3/3a/Badland_video_game_logo.jpg,PS4\,PS3\,WiiU\,XboxOne,na,na,0.000475474
131,Bad North,unreleased,PS4\,Switch\,XboxOne,na,na,na,0.025500946
132,Baja: Edge of Control HD,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Baja_Edge_of_Control.jpg/220px-Baja_Edge_of_Control.jpg,PS4\,XboxOne,na,na,na,na,2.91E-05
133,Baldur's Gate: Enhanced Edition,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Baldurs_Gate_Enhanced_Edition.png/220px-Baldurs_Gate_Enhanced_Edition.png,PS4,na,na,na,na,na,0.002367668
134,Baldur's Gate II: Enhanced Edition,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/BGIIEE_cover_art.jpg/220px-BGIIEE_cover_art.jpg,PS4,na,na,na,na,na,0.00158168
135,Baldur's Gate: Siege of Dragonspear,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Baldur%27s_Gate_Siege_of_Dragonspear_logo.png/220px-Baldur%27s_Gate_Siege_of_Dragonspear_logo.png,PS4,na,na,na,na,na,0.000834506
136,The Banner Saga,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/The_Banner_Saga_logo_transparent.png/220px-The_Banner_Saga_logo_transparent.png,PS4\,Switch\,XboxOne,na,na,na,0.007200039
137,The Banner Saga 2,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/The_banner_saga_2_art.jpg/220px-The_banner_saga_2_art.jpg,PS4\,Switch\,XboxOne,na,na,na,0.007229149
138,The Bard's Tale IV: Barrows Deep,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/The_Bard%27s_Tale_IV_logo_2017.png/220px-The_Bard%27s_Tale_IV_logo_2017.png,PS4,na,na,na,na,na,0.00043666
139,Bastion,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Bastion_Boxart.jpg/220px-Bastion_Boxart.jpg,PS4\,Switch\,Xbox360\,XboxOne,na,na,0.009247489
140,Basement Crawl,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Basement_Crawl_Box_Art.jpg/220px-Basement_Crawl_Box_Art.jpg,PS4,na,na,na,na,na,0.026510116
141,Batman: Arkham Knight,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Batman_Arkham_Knight_Cover_Art.jpg/220px-Batman_Arkham_Knight_Cover_Art.jpg,PS4\,XboxOne,na,na,na,na,0.006142351
142,Batman: Return to Arkham,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Batman_Arkham_series_logo.png/250px-Batman_Arkham_series_logo.png,PS4\,XboxOne,na,na,na,na,0.007326185
143,Batman: The Telltale Series,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Batman_%28Telltale_Games%29_logo.png/220px-Batman_%28Telltale_Games%29_logo.png,PS4\,PS3\,Switch\,Xbox360\,Xbox360\,XboxOne,0.000980059
144,Batman: The Enemy Within,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/BatmanTheEnemyWithin.jpg/220px-BatmanTheEnemyWithin.jpg,PS4\,Switch\,XboxOne,na,na,na,0.005967687
145,Battalion 1944,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Battalion_1944_pre-release_Steam_header.jpg/220px-Battalion_1944_pre-release_Steam_header.jpg,PS4\,XboxOne,na,na,na,na,0.012430256
146,Battlefield 1,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Battlefield_1_cover_art.jpg/220px-Battlefield_1_cover_art.jpg,PS4\,XboxOne,na,na,na,na,0.007316481
147,Battlefield 4,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Battlefield_4_cover_art.jpg/220px-Battlefield_4_cover_art.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na,0.007462035
148,Battlefield V,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Battlefield_V_standard_edition_box_art.jpg/220px-Battlefield_V_standard_edition_box_art.jpg,PS4\,XboxOne,na,na,na,na,0.005201106
